run	new_data_in_words	PN_size	testset	spearman_before	spearman_after	sp_diff	time-taken	w2v-score	w2v_testset

1	1000000	9848	2750	0.09835982817022193	0.11938997406934353	0.021030145899121597	5639.022266626358	0.1583329401493926	2750
2	1000000	9949	2897	0.11779789462818199	0.14333789143951572	0.02553999681133373	702.9765386581421	0.1534012074073644	2897
3	1000000	9976	2942	0.1268600633065394	0.15235980136949775	0.025499738062958355	673.5648572444916	0.16143405917838372	2942
4	1000000	9986	2977	0.13596928622082086	0.15229797765318515	0.01632869143236429	623.8389837741852	0.16630329958214812	2977
5	1000000	9989	2981	0.14290297691405612	0.1561675074781971	0.01326453056414098	623.1867978572845	0.17138754079896457	2981
6	1000000	9992	2984	0.14015250775257515	0.15465217577358797	0.014499668021012824	625.8416767120361	0.1914084488627067	2984
7	1000000	9994	2989	0.14458856525059702	0.15596628174923238	0.011377716498635365	623.9086916446686	0.2114552323245219	2989
8	1000000	9995	2993	0.141800769904128	0.15528655033379998	0.013485780429671995	622.4171640872955	0.23087282387433278	2993
9	1000000	9996	2993	0.1444831101003943	0.166954683905566	0.022471573805171702	617.9071109294891	0.24217557678881454	2993
10	1000000	9996	2993	0.14924958738886376	0.17511996677197683	0.025870379383113068	616.9769268035889	0.24719657043972343	2993
11	1000000	9996	2993	0.15073428370475678	0.18128366447945116	0.03054938077469438	620.6354246139526	0.2924327662319346	2993
12	1000000	9996	2993	0.15485559170827884	0.18668163492324166	0.031826043214962824	619.7831547260284	0.29304594743107976	2993
13	1000000	9996	2993	0.15705171720875077	0.1899674469275841	0.03291572971883333	632.367036819458	0.3015012272722036	2993
14	1000000	9996	2993	0.15893887279724075	0.1979274796954876	0.03898860689824685	642.0495233535767	0.32394835649532766	2993
15	1000000	9997	2999	0.1674387466640718	0.207221778262751	0.039783031598679214	642.7256872653961	0.33771064354471697	2999
16	1000000	9997	2999	0.165835205731396	0.2089317809873428	0.04309657525594679	601.3822066783905	0.3421275070485935	2999
17	1000000	9998	3000	0.17134370738214671	0.21258769528516172	0.041243987903015006	645.6655311584473	0.36657672768741517	3000
18	1000000	9998	3000	0.16181935535167893	0.21603334798745105	0.05421399263577212	641.4070358276367	0.36995879066379644	3000
19	1000000	9998	3000	0.16414788067699876	0.21547885917184337	0.05133097849484461	674.9270231723785	0.3784954275144433	3000
20	1000000	9998	3000	0.16563022356213034	0.21790433085397487	0.052274107291844535	640.4534873962402	0.3935114247830007	3000
21	1000000	9998	3000	0.1699181409742563	0.2202926906176147	0.050374549643358385	639.0189912319183	0.40432991034125093	3000
22	1000000	9998	3000	0.1693064450583113	0.22118001085467484	0.05187356579636354	614.8979766368866	0.4034833184472982	3000
23	1000000	9998	3000	0.17502013093775867	0.2306176709850971	0.05559754004733844	642.6120369434357	0.4261156545491852	3000
24	1000000	9998	3000	0.17634759893675728	0.2355687825512617	0.05922118361450443	645.0840809345245	0.427809057068092	3000
25	1000000	9998	3000	0.175782149067442	0.23516890768303894	0.059386758615596946	638.0478899478912	0.43323008709193533	3000
26	1000000	9998	3000	0.17995024168037024	0.23919588450366458	0.05924564282329434	633.7546811103821	0.44624401838883526	3000
27	1000000	9998	3000	0.18365475438663312	0.23951666844884453	0.055861914062211415	646.0552208423615	0.43778678422595196	3000
28	1000000	9998	3000	0.1859778027677055	0.2438792461415193	0.05790144337381378	650.41978764534	0.45721785230581263	3000
29	1000000	9998	3000	0.1858833896649819	0.2484190460939808	0.06253565642899889	645.1289231777191	0.4593299922086797	3000
30	1000000	9998	3000	0.18819275446579595	0.2533520336132161	0.06515927914742017	645.9902181625366	0.4628913821520865	3000
31	1000000	9998	3000	0.1906779051921215	0.25842574257761886	0.06774783738549736	655.6571714878082	0.4631606497952655	3000
32	1000000	9998	3000	0.19198888034013645	0.26183496452050814	0.06984608418037169	643.1483118534088	0.4736194749011989	3000
33	1000000	9998	3000	0.19197518475634753	0.2592454730301202	0.06727028827377265	635.1397984027863	0.4786890373269048	3000
34	1000000	9998	3000	0.19325642582545025	0.2606524663821344	0.06739604055668416	658.365357875824	0.47536622199904593	3000
35	1000000	9999	3000	0.19312345627114352	0.2592647588312095	0.06614130256006595	653.5762038230896	0.4813571938800836	3000
36	1000000	9999	3000	0.19370724019965715	0.2655067064501863	0.07179946625052916	640.1081357002258	0.485916102775749	3000
37	1000000	9999	3000	0.19565926300785244	0.26763759118156183	0.07197832817370939	640.5094015598297	0.4965469291384672	3000
38	1000000	9999	3000	0.19886241936306537	0.271597755064515	0.07273533570144963	643.2019743919373	0.4985915718552936	3000
39	1000000	9999	3000	0.20031038258067196	0.2746980542417609	0.07438767166108895	637.728128194809	0.4979876131039422	3000
40	1000000	9999	3000	0.2029449363614979	0.28009169756020436	0.07714676119870645	635.2301812171936	0.5124927014340033	3000
41	1000000	9999	3000	0.20457040000889712	0.282566117252666	0.07799571724376889	634.0454909801483	0.5071732303924534	3000
42	1000000	9999	3000	0.20491096662298897	0.2825868021603965	0.07767583553740753	641.806394815445	0.5260107292212339	3000
43	1000000	9999	3000	0.20551204741674584	0.2829069151799068	0.07739486776316096	641.1563365459442	0.5165404153070273	3000
44	1000000	9999	3000	0.20618224187199155	0.28662416203684155	0.08044192016485	638.7277870178223	0.520553080871417	3000
45	1000000	9999	3000	0.20750244462297746	0.2904394574934838	0.08293701287050637	625.1013383865356	0.5374841178482398	3000
46	1000000	9999	3000	0.2091796886114554	0.29356086805276316	0.08438117944130777	676.8011221885681	0.5313813019598108	3000
47	1000000	9999	3000	0.21057516572484417	0.29319739007315143	0.08262222434830727	640.5727262496948	0.5352317978258038	3000
48	1000000	9999	3000	0.21237685120374417	0.29450244613321885	0.08212559492947469	677.3061811923981	0.5254143600355078	3000
49	1000000	9999	3000	0.21359984202879856	0.2965440256261096	0.08294418359731104	643.3185572624207	0.5378782453271096	3000
50	1000000	9999	3000	0.21464579078109758	0.30061138853424324	0.08596559775314566	632.3265092372894	0.5350841466199017	3000
51	1000000	9999	3000	0.21661772566818407	0.299860732104323	0.08324300643613894	673.4232974052429	0.5479700155836162	3000
52	1000000	9999	3000	0.21679464681648353	0.3008660763612353	0.08407142954475177	636.8309051990509	0.5508354915069731	3000
53	1000000	9999	3000	0.21760267069989783	0.3019189264723118	0.08431625577241394	644.1701498031616	0.5424685456780544	3000
54	1000000	9999	3000	0.21844162345808993	0.3031730126112389	0.08473138915314898	634.5497455596924	0.5442903301797195	3000
55	1000000	9999	3000	0.21980925126915127	0.304263730622714	0.08445447935356273	641.8139908313751	0.5445895190679724	3000
56	1000000	9999	3000	0.2209407987538566	0.30629115340478086	0.08535035465092425	641.975109577179	0.5497712166978295	3000
57	1000000	9999	3000	0.2219310228938513	0.3084352186494792	0.0865041957556279	635.7536544799805	0.560361072121022	3000
58	1000000	9999	3000	0.22306222027558217	0.30910425383917645	0.08604203356359427	670.3654274940491	0.552477206156444	3000
59	1000000	9999	3000	0.22225271773503347	0.3089576322994546	0.08670491456442114	648.0274455547333	0.5526118759886252	3000
60	1000000	9999	3000	0.22435002394158485	0.309495753647802	0.08514572970621717	640.5138161182404	0.5509184405711531	3000
61	1000000	9999	3000	0.225094121022436	0.30934258913254875	0.08424846811011275	623.9634068012238	0.5653307227155718	3000
62	1000000	9999	3000	0.2253578550380288	0.3109465269344012	0.08558867189637243	672.0991332530975	0.5632822999980585	3000
63	1000000	9999	3000	0.2263979082785241	0.3167229970807051	0.09032508880218101	640.3460972309113	0.5693196132871075	3000
64	1000000	9999	3000	0.22743527428418814	0.32219488278651215	0.09475960850232401	626.1945838928223	0.5742937638718901	3000
65	1000000	9999	3000	0.2276300998097495	0.320289723060676	0.0926596232509265	660.5190145969391	0.5722688629616511	3000
66	1000000	9999	3000	0.2293816492089693	0.32095991222580883	0.09157826301683952	633.7310109138489	0.5766665619967889	3000
67	1000000	10000	3000	0.23043122080462017	0.3220070700948599	0.09157584929023974	618.7795870304108	0.5765689403948053	3000
68	1000000	10000	3000	0.23171910271585902	0.3244002088399599	0.09268110612410088	637.2588827610016	0.5822449598622315	3000
69	1000000	10000	3000	0.23255537401869747	0.32555327228058917	0.0929978982618917	637.6883597373962	0.5731440194794374	3000
70	1000000	10000	3000	0.23344106007794482	0.3269944322729737	0.09355337219502888	657.0465078353882	0.5825101616428661	3000
71	1000000	10000	3000	0.2346738415604683	0.32992265434405477	0.09524881278358646	645.3206915855408	0.5766442876675418	3000
72	1000000	10000	3000	0.23634385697838806	0.33263461472555816	0.09629075774717011	656.6982576847076	0.5831520373243672	3000
73	1000000	10000	3000	0.24006075577217129	0.3327365751276154	0.09267581935544411	629.2687501907349	0.585583158603648	3000
74	1000000	10000	3000	0.24054466299097	0.33472875247123157	0.09418408948026158	652.8497502803802	0.5874813222371023	3000
75	1000000	10000	3000	0.24198060734017623	0.33641349073394394	0.09443288339376771	634.9382059574127	0.587202242819132	3000
76	1000000	10000	3000	0.24279474724469635	0.33908989200695483	0.09629514476225848	641.8680093288422	0.5884117988037556	3000
77	1000000	10000	3000	0.2438541168333071	0.33756487343069186	0.09371075659738476	634.5428378582001	0.5852626941243478	3000
78	1000000	10000	3000	0.2436602033537803	0.3382770957926115	0.0946168924388312	630.7077257633209	0.5874746289350918	3000
79	1000000	10000	3000	0.2444537849893476	0.3385956042709643	0.09414181928161669	638.5326201915741	0.5917081318980449	3000
80	1000000	10000	3000	0.24551945331947372	0.33905727648961637	0.09353782317014264	638.9955718517303	0.5929555772491555	3000
81	1000000	10000	3000	0.244985088593121	0.3408281309712791	0.09584304237815813	627.1077947616577	0.5873694364396416	3000
82	1000000	10000	3000	0.2457925540900769	0.34302433192945875	0.09723177783938186	635.1972961425781	0.5934257577639009	3000
83	1000000	10000	3000	0.24375545959338166	0.3424178162530286	0.09866235665964693	635.9933524131775	0.5949215850595987	3000
84	1000000	10000	3000	0.2439733476800299	0.3445137281600173	0.1005403804799874	629.6388540267944	0.5956860608010195	3000
85	1000000	10000	3000	0.24454171262896945	0.3423456260194005	0.09780391339043104	638.868994474411	0.5863283128843385	3000
86	1000000	10000	3000	0.24440702501378	0.34236121742894793	0.09795419241516792	638.7521326541901	0.5977128733846433	3000
87	1000000	10000	3000	0.2448027527411029	0.34541211848452325	0.10060936574342033	639.9517600536346	0.5970768883246186	3000
88	762760	10000	3000	0.2449537871643208	0.3444669781980685	0.09951319103374767	619.0202467441559	0.5970030450498033	3000
