run	new_data_in_words	PN_size	testset	spearman_before	spearman_after	sp_diff	time-taken	w2v-score	w2v_testset
25	1000000	9998	3000	0.17267546241985454	0.21081926229266792	0.03814379987281338	563.3182685375214	0.3590244892632666	3000
26	1000000	9998	3000	0.17205520820891088	0.21162854593147648	0.039573337722565605	565.8561670780182	0.3900737176624273	3000
27	1000000	9998	3000	0.1730162828863889	0.2166636496781162	0.04364736679172729	591.3010609149933	0.38403320365418436	3000
28	1000000	9998	3000	0.1750117955972257	0.22160342100478433	0.04659162540755862	578.6162233352661	0.39588577358621724	3000
29	1000000	9998	3000	0.17542018060294445	0.22488907873356198	0.04946889813061753	573.5997128486633	0.4044068125157697	3000
30	1000000	9998	3000	0.17633196144846958	0.22875792225807756	0.052425960809607985	578.8215787410736	0.40018693689431145	3000
31	1000000	9998	3000	0.17719185369885335	0.2290207014020699	0.05182884770321655	609.1379141807556	0.4074100954162473	3000
32	1000000	9998	3000	0.1767266797677877	0.2274303883169381	0.050703708549150406	578.8553912639618	0.4142398726787963	3000
33	1000000	9998	3000	0.17790070685797957	0.23172152508282812	0.05382081822484855	599.9406685829163	0.4251149017568799	3000
34	1000000	9998	3000	0.17907964316988112	0.23161225189338502	0.052532608723503904	605.1551926136017	0.42269061937798946	3000
35	1000000	9999	3000	0.17867778964079795	0.23103367484833842	0.052355885207540476	572.9263236522675	0.4205983264237459	3000
36	1000000	9999	3000	0.17913398026296823	0.23730193772834116	0.05816795746537293	586.5088536739349	0.436116262881448	3000
37	1000000	9999	3000	0.18141908059362657	0.24056644650231018	0.05914736590868361	569.6094963550568	0.4399375701623061	3000
38	1000000	9999	3000	0.18343837696653406	0.24767464640976178	0.06423626944322772	577.3627605438232	0.4455538396112274	3000
39	1000000	9999	3000	0.18508660264218102	0.25045227489542443	0.06536567225324341	564.3381464481354	0.43633550692247397	3000
40	1000000	9999	3000	0.1873082000727349	0.2525038233983217	0.06519562332558682	608.4588952064514	0.4482978111302592	3000
41	1000000	9999	3000	0.1882327297791483	0.25200223177900877	0.06376950199986048	572.1454854011536	0.4547747150478702	3000
