FF_start = (2,   10000,6,5)
FF_end   = (2500,10000,6,5)

- extend_time converges to ~0.04s
- average converges as predicted
- std_dev of ~0.5 -> 95% of PNs have ±1 more connections than on average

extend_time 	pn_size	avgerage	variance	std_dev

0.068465		100		600.0		0.6061		0.7785
0.045128		200		300.0		0.2513		0.5013
0.044366		300		200.0		0.194		0.4404
0.041969		400		150.0		0.1905		0.4364
0.042511		500		120.0		0.2084		0.4565
0.042009		600		100.0		0.197		0.4438
0.042216		700		85.7143		0.2645		0.5143
0.040937		800		75.0		0.2203		0.4693
0.041115		900		66.6667		0.2581		0.508
0.041119		1000	60.0		0.2162		0.465
0.041497		1100	54.5455		0.2827		0.5317
0.043698		1200	50.0		0.2068		0.4548
0.040837		1300	46.1538		0.2103		0.4586
0.040879		1400	42.8571		0.2298		0.4793
0.040812		1500	40.0		0.2015		0.4489
0.040698		1600	37.5		0.2614		0.5113
0.041379		1700	35.2941		0.2442		0.4942
0.042333		1800	33.3333		0.2535		0.5035
0.044852		1900	31.5789		0.2639		0.5137
0.047597		2000	30.0		0.2091		0.4573
0.040981		2100	28.5714		0.2641		0.5139
0.040615		2200	27.2727		0.2248		0.4741
0.044215		2300	26.087		0.2004		0.4476
0.04062			2400	25.0		0.1892		0.435
0.041135		2500	24.0		0.1889		0.4346
