score,KC_factor,projections,hash_dims,flattening
0.29592,1.0,18.0,80.0,log2
0.24433,1.0,14.0,240.0,log2
0.2069,1.0,16.0,80.0,log10
0.19371,2.0,8.0,320.0,log2
0.14249,2.0,10.0,160.0,log10
0.14199,6.0,12.0,960.0,log10
0.1366,2.0,18.0,640.0,log
0.13549,2.0,20.0,160.0,log10
0.12811,1.0,10.0,240.0,log
0.12792,2.0,8.0,160.0,log
0.12102,1.0,16.0,80.0,log2
0.11941,2.0,14.0,160.0,log10
0.11414,4.0,18.0,640.0,log
0.1127,1.0,20.0,160.0,log
0.11216,10.0,8.0,800.0,log2
0.11179,2.0,8.0,480.0,log
0.11036,1.0,6.0,240.0,log2
0.10038,6.0,10.0,480.0,log10
0.09132,4.0,18.0,1280.0,log10
0.08846,4.0,10.0,640.0,log
0.08725,4.0,14.0,960.0,log2
0.08347,6.0,14.0,480.0,log2
0.08234,4.0,8.0,320.0,log2
0.08031,2.0,14.0,480.0,log10
0.07985,1.0,14.0,320.0,log2
0.07494,1.0,12.0,240.0,log10
0.07487,6.0,14.0,480.0,log
0.07479,1.0,8.0,400.0,log10
0.07373,6.0,8.0,480.0,log10
0.07253,6.0,16.0,480.0,log
0.07177,2.0,16.0,800.0,log
0.07169,1.0,18.0,240.0,log10
0.07139,6.0,6.0,480.0,log
0.07109,10.0,16.0,800.0,log
0.07109,10.0,14.0,800.0,log10
0.068,2.0,6.0,160.0,log10
0.06429,2.0,16.0,160.0,log2
0.06398,1.0,10.0,80.0,log10
0.06354,2.0,12.0,640.0,log10
0.06264,6.0,20.0,1920.0,log10
0.06189,8.0,14.0,1280.0,log
0.06089,4.0,6.0,640.0,log10
0.06082,4.0,8.0,640.0,log10
0.05894,6.0,14.0,1440.0,log2
0.05856,2.0,6.0,800.0,log10
0.0566,4.0,20.0,1280.0,log10
0.05547,1.0,14.0,80.0,log10
0.05359,8.0,18.0,1280.0,log2
0.05341,1.0,10.0,240.0,log10
0.05132,2.0,8.0,640.0,log
0.05063,4.0,8.0,1280.0,log
0.04981,4.0,18.0,320.0,log10
0.0495,2.0,16.0,640.0,log10
0.04837,8.0,8.0,640.0,log2
0.04718,1.0,6.0,80.0,log2
0.04686,2.0,6.0,160.0,log
0.04648,2.0,10.0,800.0,log10
0.04604,2.0,10.0,640.0,log2
0.04604,1.0,12.0,160.0,log10
0.04283,2.0,18.0,320.0,log2
0.04163,2.0,18.0,800.0,log10
0.04076,6.0,14.0,1920.0,log
0.03974,1.0,10.0,400.0,log2
0.03867,2.0,18.0,160.0,log10
0.03849,4.0,10.0,1280.0,log10
0.03801,1.0,8.0,80.0,log
0.03696,4.0,10.0,320.0,log10
0.03547,8.0,20.0,640.0,log10
0.03478,6.0,8.0,1440.0,log
0.03402,1.0,14.0,320.0,log
0.03257,8.0,6.0,640.0,log10
0.03245,10.0,10.0,1600.0,log10
0.03219,8.0,8.0,1280.0,log
0.03074,1.0,10.0,320.0,log2
0.03068,1.0,6.0,400.0,log
0.03019,6.0,12.0,2400.0,log10
0.03019,8.0,14.0,3200.0,log10
0.02917,1.0,16.0,400.0,log
0.02847,4.0,20.0,320.0,log
0.02792,6.0,8.0,2400.0,log10
0.02756,1.0,14.0,160.0,log10
0.02647,4.0,20.0,960.0,log2
0.02595,1.0,14.0,80.0,log2
0.02566,8.0,10.0,1280.0,log2
0.02539,4.0,18.0,640.0,log10
0.02415,8.0,20.0,3200.0,log10
0.02345,6.0,16.0,480.0,log10
0.02264,10.0,6.0,800.0,log2
0.02254,2.0,12.0,320.0,log2
0.02237,4.0,14.0,960.0,log
0.02189,8.0,12.0,2560.0,log2
0.02167,1.0,6.0,160.0,log10
0.02119,2.0,10.0,640.0,log10
0.02113,8.0,16.0,1280.0,log10
0.0193,6.0,10.0,960.0,log10
0.0193,10.0,12.0,2400.0,log10
0.01887,10.0,18.0,1600.0,log
0.01779,2.0,18.0,480.0,log2
0.01746,2.0,20.0,800.0,log
0.01741,8.0,8.0,640.0,log
0.01741,1.0,6.0,320.0,log2
0.01676,1.0,6.0,240.0,log
0.0159,4.0,20.0,1280.0,log2
0.0159,8.0,14.0,640.0,log10
0.01563,1.0,12.0,320.0,log10
0.01498,8.0,6.0,640.0,log2
0.01482,2.0,16.0,320.0,log
0.01369,4.0,16.0,320.0,log
0.01364,10.0,20.0,1600.0,log
0.01359,8.0,12.0,1920.0,log2
0.01326,8.0,12.0,2560.0,log10
0.01223,2.0,18.0,800.0,log2
0.01218,4.0,16.0,640.0,log10
0.01175,8.0,6.0,1280.0,log
0.01087,1.0,10.0,320.0,log
0.01062,10.0,12.0,1600.0,log10
0.01057,10.0,6.0,800.0,log
0.00986,10.0,16.0,2400.0,log10
0.00981,8.0,16.0,1280.0,log
0.00911,6.0,18.0,1920.0,log2
0.00906,8.0,14.0,1920.0,log10
0.0083,6.0,6.0,1920.0,log10
0.0083,10.0,10.0,800.0,log10
0.00797,6.0,10.0,480.0,log
0.00679,6.0,20.0,1440.0,log2
0.00679,8.0,10.0,1920.0,log2
0.00651,2.0,18.0,480.0,log
0.00633,1.0,10.0,320.0,log10
0.00613,4.0,6.0,320.0,log10
0.00609,8.0,14.0,2560.0,log
0.00604,8.0,6.0,2560.0,log
0.00604,8.0,10.0,640.0,log
0.00604,2.0,16.0,800.0,log2
0.00453,8.0,6.0,640.0,log
0.00377,10.0,16.0,2400.0,log
0.00302,10.0,16.0,4000.0,log2
0.00217,1.0,6.0,320.0,log10
0.00198,2.0,6.0,480.0,log10
0.00122,8.0,14.0,2560.0,log10
0.00075,8.0,8.0,3200.0,log10
9e-05,10.0,8.0,800.0,log
5e-05,8.0,8.0,640.0,log10
0.0,10.0,10.0,3200.0,log10
-0.00033,4.0,20.0,960.0,log10
-0.00072,1.0,18.0,80.0,log
-0.00095,1.0,6.0,80.0,log10
-0.00104,2.0,20.0,320.0,log10
-0.00151,8.0,16.0,1280.0,log2
-0.00171,8.0,18.0,640.0,log2
-0.00184,8.0,6.0,1920.0,log
-0.00222,6.0,8.0,960.0,log2
