score,KC_factor,projections,hash_dims,flattening
0.11314,4.0,14.0,64.0,log10
0.11271,4.0,10.0,192.0,log
0.11224,2.0,6.0,160.0,log2
0.11213,2.0,12.0,64.0,log10
0.10952,6.0,20.0,192.0,log2
0.10952,8.0,8.0,512.0,log2
0.10939,6.0,12.0,288.0,log2
0.10934,2.0,12.0,64.0,log
0.10775,2.0,6.0,96.0,log
0.10771,8.0,20.0,128.0,log
0.10737,2.0,8.0,128.0,log10
0.10642,6.0,14.0,480.0,log2
0.10612,4.0,14.0,128.0,log2
0.10561,8.0,6.0,128.0,log2
0.10502,4.0,14.0,192.0,log10
0.10499,6.0,20.0,384.0,log2
0.10403,1.0,20.0,48.0,log2
0.10383,2.0,18.0,96.0,log2
0.10351,10.0,8.0,160.0,log
0.10313,2.0,18.0,160.0,log
0.10205,4.0,10.0,320.0,log
0.10197,6.0,20.0,480.0,log10
0.10191,2.0,14.0,32.0,log
0.10145,2.0,14.0,160.0,log10
0.10046,4.0,6.0,320.0,log2
0.09903,4.0,16.0,320.0,log10
0.09835,6.0,6.0,384.0,log
0.09827,8.0,12.0,256.0,log10
0.09638,10.0,6.0,160.0,log2
0.09563,4.0,20.0,192.0,log2
0.09556,10.0,10.0,160.0,log10
0.09533,1.0,18.0,16.0,log
0.09481,1.0,16.0,64.0,log2
0.09466,1.0,14.0,48.0,log10
0.0942,10.0,14.0,640.0,log10
0.09412,6.0,14.0,192.0,log
0.09398,4.0,18.0,128.0,log2
0.0936,4.0,8.0,64.0,log
0.09329,10.0,10.0,800.0,log10
0.0931,4.0,18.0,64.0,log
0.09291,8.0,12.0,640.0,log2
0.09276,8.0,20.0,128.0,log2
0.09155,4.0,8.0,320.0,log10
0.09095,1.0,8.0,80.0,log
0.09027,6.0,8.0,384.0,log2
0.08913,8.0,8.0,384.0,log2
0.08838,6.0,12.0,480.0,log10
0.08777,2.0,20.0,128.0,log2
0.08649,2.0,18.0,160.0,log2
0.08649,8.0,16.0,256.0,log2
0.08649,4.0,18.0,256.0,log10
0.08465,1.0,14.0,32.0,log2
0.08302,8.0,20.0,384.0,log
0.08247,1.0,18.0,64.0,log10
0.08218,2.0,16.0,160.0,log
0.08203,4.0,12.0,256.0,log
0.08196,4.0,10.0,320.0,log2
0.08112,2.0,16.0,128.0,log
0.08083,6.0,6.0,288.0,log
0.08076,8.0,12.0,512.0,log
0.08058,2.0,12.0,96.0,log10
0.07939,8.0,6.0,256.0,log
0.07937,10.0,8.0,160.0,log2
0.07894,4.0,10.0,320.0,log10
0.07849,6.0,18.0,288.0,log
0.07833,8.0,16.0,512.0,log10
0.07817,1.0,16.0,80.0,log10
0.07734,8.0,10.0,128.0,log2
0.07554,10.0,12.0,800.0,log2
0.07517,8.0,10.0,512.0,log2
0.07351,1.0,10.0,16.0,log10
0.07146,6.0,18.0,480.0,log2
0.07094,8.0,8.0,384.0,log
0.07077,6.0,12.0,288.0,log
0.06991,10.0,14.0,160.0,log2
0.06913,10.0,10.0,640.0,log
0.06913,4.0,14.0,320.0,log10
0.06882,1.0,18.0,16.0,log10
0.06799,8.0,8.0,640.0,log10
0.06793,8.0,6.0,384.0,log
0.06764,2.0,6.0,96.0,log10
0.06675,4.0,20.0,128.0,log
0.06648,10.0,18.0,320.0,log
0.06617,6.0,8.0,192.0,log
0.06593,8.0,14.0,256.0,log
0.06582,6.0,6.0,96.0,log10
0.06568,6.0,8.0,384.0,log
0.06506,4.0,20.0,128.0,log2
0.06466,10.0,8.0,640.0,log2
0.06466,4.0,6.0,320.0,log10
0.06435,4.0,18.0,128.0,log10
0.06422,10.0,8.0,800.0,log
0.06422,4.0,20.0,320.0,log10
0.06373,2.0,8.0,128.0,log2
0.06366,6.0,8.0,96.0,log
0.06284,8.0,10.0,384.0,log10
0.06271,2.0,14.0,128.0,log2
0.06246,6.0,12.0,192.0,log2
0.06233,10.0,6.0,320.0,log
0.06177,4.0,12.0,128.0,log
0.06158,6.0,16.0,384.0,log10
0.06126,2.0,12.0,96.0,log2
0.06122,1.0,16.0,64.0,log10
0.06108,4.0,12.0,192.0,log2
0.06082,10.0,20.0,640.0,log2
0.06051,10.0,8.0,480.0,log2
0.05982,6.0,16.0,288.0,log2
0.0595,10.0,8.0,160.0,log10
0.05795,1.0,10.0,64.0,log
0.05749,8.0,20.0,256.0,log2
0.05717,10.0,8.0,640.0,log
0.05711,4.0,18.0,64.0,log2
0.05704,8.0,20.0,512.0,log
0.0566,10.0,8.0,640.0,log10
0.05635,6.0,6.0,480.0,log2
0.0561,8.0,14.0,128.0,log10
0.05598,10.0,16.0,320.0,log
0.0556,4.0,12.0,320.0,log10
0.05516,10.0,14.0,480.0,log2
0.05484,8.0,16.0,640.0,log
0.05484,4.0,10.0,256.0,log2
0.05365,6.0,14.0,480.0,log
0.05339,4.0,16.0,128.0,log2
0.05327,10.0,14.0,320.0,log2
0.05295,6.0,10.0,480.0,log10
0.05232,8.0,8.0,256.0,log10
0.05207,1.0,8.0,80.0,log2
0.05169,4.0,8.0,128.0,log2
0.05107,8.0,6.0,640.0,log
0.05056,6.0,16.0,288.0,log10
0.05056,8.0,6.0,128.0,log10
0.05031,8.0,18.0,256.0,log
0.05018,2.0,10.0,96.0,log2
0.04981,6.0,16.0,384.0,log
0.04956,10.0,12.0,640.0,log2
0.04943,1.0,12.0,16.0,log10
0.04924,4.0,18.0,192.0,log10
0.04912,10.0,6.0,800.0,log
0.04906,8.0,8.0,384.0,log10
0.04906,10.0,10.0,640.0,log10
0.04874,8.0,20.0,640.0,log2
0.0486,6.0,6.0,96.0,log2
0.04842,6.0,10.0,480.0,log2
0.04836,6.0,12.0,480.0,log
0.04805,8.0,20.0,128.0,log10
0.04713,2.0,8.0,32.0,log2
0.04698,2.0,10.0,32.0,log
0.04659,6.0,12.0,384.0,log2
0.04653,10.0,12.0,320.0,log10
0.04651,6.0,18.0,96.0,log2
0.04647,10.0,10.0,320.0,log10
0.04622,2.0,16.0,32.0,log
0.04572,6.0,8.0,288.0,log
0.04502,4.0,10.0,192.0,log2
0.04502,6.0,18.0,480.0,log10
0.04502,8.0,20.0,640.0,log10
0.04476,4.0,12.0,256.0,log10
0.04459,8.0,10.0,512.0,log
0.04459,8.0,14.0,640.0,log
0.04453,10.0,6.0,800.0,log2
0.04416,4.0,10.0,64.0,log10
0.04376,1.0,8.0,32.0,log
0.04345,8.0,18.0,256.0,log2
0.04276,4.0,16.0,320.0,log2
0.04232,10.0,12.0,480.0,log10
0.042,4.0,12.0,320.0,log
0.042,4.0,6.0,192.0,log2
0.04174,4.0,12.0,128.0,log10
0.04139,2.0,16.0,64.0,log10
0.04104,6.0,12.0,480.0,log2
0.04076,8.0,10.0,384.0,log2
0.04055,4.0,20.0,256.0,log10
0.04,8.0,6.0,512.0,log
0.03969,2.0,20.0,64.0,log10
0.03936,6.0,14.0,384.0,log
