score,KC_factor,projections,hash_dims,flattening
0.0612,8.0,16.0,320.0,log2
0.0605,8.0,10.0,640.0,log10
0.06038,8.0,20.0,640.0,log2
0.05975,6.0,18.0,480.0,log2
0.05962,4.0,8.0,640.0,log2
0.0595,1.0,14.0,120.0,log2
0.05931,4.0,14.0,800.0,log
0.05912,8.0,12.0,320.0,log2
0.05887,4.0,18.0,480.0,log10
0.05874,2.0,6.0,160.0,log2
0.05811,2.0,14.0,160.0,log10
0.05786,2.0,16.0,320.0,log2
0.05735,1.0,16.0,40.0,log2
0.05735,10.0,16.0,400.0,log2
0.05667,4.0,8.0,640.0,log10
0.05654,2.0,6.0,240.0,log
0.05622,2.0,8.0,400.0,log10
0.05585,10.0,8.0,400.0,log2
0.05516,4.0,8.0,480.0,log10
0.05484,10.0,10.0,400.0,log
0.05483,1.0,8.0,80.0,log10
0.05452,8.0,20.0,1280.0,log2
0.05365,10.0,8.0,2000.0,log
0.05283,10.0,6.0,1600.0,log10
0.05214,6.0,20.0,240.0,log
0.05208,6.0,12.0,1200.0,log
0.0518,2.0,14.0,160.0,log2
0.0515,6.0,14.0,720.0,log
0.05138,8.0,18.0,640.0,log2
0.05106,10.0,8.0,1600.0,log
0.05063,4.0,16.0,800.0,log
0.05025,10.0,6.0,1600.0,log2
0.04981,6.0,14.0,960.0,log2
0.04918,6.0,16.0,480.0,log
0.04881,1.0,18.0,80.0,log10
0.04854,1.0,12.0,120.0,log
0.04755,10.0,8.0,800.0,log10
0.04714,2.0,16.0,240.0,log
0.04688,1.0,16.0,160.0,log10
0.04647,8.0,20.0,640.0,log10
0.0461,6.0,20.0,720.0,log2
0.04578,10.0,10.0,400.0,log2
0.04534,8.0,18.0,640.0,log
0.04525,1.0,10.0,160.0,log10
0.04383,4.0,12.0,320.0,log10
0.04377,4.0,10.0,800.0,log10
0.04348,1.0,10.0,80.0,log
0.04345,2.0,18.0,240.0,log10
0.04304,2.0,12.0,80.0,log
0.04302,4.0,6.0,640.0,log
0.04302,8.0,18.0,1600.0,log10
0.04276,2.0,6.0,240.0,log10
0.04249,8.0,6.0,960.0,log
0.04238,10.0,12.0,800.0,log
0.04238,4.0,16.0,800.0,log2
0.04228,4.0,12.0,160.0,log
0.04194,8.0,16.0,640.0,log2
0.04151,10.0,8.0,1600.0,log10
0.04081,8.0,20.0,320.0,log
0.04011,4.0,10.0,160.0,log
0.03973,8.0,18.0,320.0,log
0.0393,8.0,8.0,1600.0,log
0.0393,8.0,8.0,640.0,log10
0.0386,6.0,18.0,720.0,log
0.03817,2.0,18.0,320.0,log
0.03774,2.0,18.0,400.0,log2
0.03769,2.0,6.0,400.0,log
0.03741,8.0,10.0,960.0,log
0.03741,6.0,14.0,480.0,log2
0.03547,8.0,18.0,1280.0,log2
0.03542,4.0,10.0,160.0,log10
0.03531,4.0,20.0,160.0,log10
0.0352,4.0,20.0,640.0,log
0.03493,4.0,18.0,320.0,log10
0.03488,1.0,6.0,200.0,log
0.03482,8.0,14.0,960.0,log10
0.03412,2.0,10.0,320.0,log2
0.03396,8.0,6.0,1600.0,log10
0.03385,1.0,6.0,120.0,log
0.03364,8.0,12.0,1600.0,log10
0.03326,10.0,18.0,1600.0,log10
0.03321,4.0,18.0,640.0,log
0.03321,8.0,8.0,320.0,log
0.03314,1.0,20.0,40.0,log
0.03271,1.0,12.0,160.0,log
0.03261,4.0,14.0,800.0,log10
0.03239,4.0,20.0,640.0,log10
0.03158,1.0,6.0,160.0,log10
0.03157,2.0,10.0,240.0,log10
0.03076,1.0,16.0,40.0,log10
0.03067,2.0,8.0,320.0,log10
0.02943,8.0,14.0,1280.0,log
0.02911,4.0,10.0,800.0,log2
0.02889,8.0,16.0,320.0,log10
0.02873,8.0,20.0,1600.0,log
0.02873,4.0,14.0,640.0,log10
0.02868,6.0,8.0,720.0,log
0.02868,6.0,10.0,960.0,log10
0.02835,8.0,6.0,1600.0,log2
0.02806,1.0,18.0,160.0,log10
0.02792,10.0,8.0,800.0,log2
0.0276,8.0,16.0,960.0,log
0.02722,10.0,18.0,2000.0,log10
0.02642,10.0,14.0,800.0,log2
0.02642,10.0,20.0,2000.0,log2
0.02619,1.0,20.0,200.0,log
0.02596,1.0,20.0,160.0,log10
0.02543,2.0,20.0,320.0,log10
0.02538,8.0,14.0,320.0,log
0.02501,4.0,12.0,480.0,log2
0.02496,10.0,6.0,2000.0,log
0.02382,8.0,10.0,960.0,log10
0.02345,10.0,12.0,1200.0,log10
0.02246,4.0,10.0,320.0,log2
0.02213,4.0,16.0,640.0,log
0.02133,2.0,18.0,400.0,log10
0.02123,2.0,6.0,240.0,log2
0.02043,10.0,18.0,1200.0,log2
0.01972,4.0,18.0,800.0,log2
0.01906,4.0,18.0,640.0,log2
0.01892,8.0,8.0,960.0,log
0.01887,6.0,18.0,960.0,log
0.01887,6.0,12.0,240.0,log2
0.01887,10.0,8.0,1200.0,log2
0.01887,10.0,16.0,800.0,log10
0.0183,4.0,12.0,320.0,log
0.01816,8.0,8.0,1280.0,log
0.01816,10.0,20.0,1600.0,log10
0.01811,6.0,8.0,1200.0,log
0.01793,2.0,8.0,160.0,log2
0.01778,4.0,14.0,640.0,log
0.01759,4.0,16.0,480.0,log
0.01708,10.0,16.0,1200.0,log
0.01594,10.0,18.0,400.0,log
0.01585,8.0,10.0,640.0,log2
0.01546,1.0,18.0,120.0,log10
0.01519,8.0,20.0,320.0,log10
0.01509,10.0,16.0,800.0,log
0.01434,4.0,6.0,800.0,log10
0.01434,4.0,18.0,800.0,log10
0.01386,4.0,10.0,160.0,log2
0.01363,4.0,6.0,480.0,log
0.01288,10.0,18.0,800.0,log
0.01283,10.0,14.0,800.0,log
0.01259,8.0,6.0,320.0,log
0.01233,1.0,18.0,80.0,log2
0.01226,4.0,16.0,320.0,log2
0.01174,8.0,16.0,640.0,log10
0.01132,8.0,14.0,1600.0,log
0.01095,2.0,8.0,80.0,log
0.01003,10.0,6.0,400.0,log
0.0099,4.0,18.0,160.0,log2
0.00932,4.0,14.0,160.0,log
0.00923,6.0,16.0,240.0,log10
0.00914,4.0,14.0,320.0,log2
0.00906,10.0,10.0,1600.0,log2
0.00781,2.0,18.0,160.0,log10
0.00759,4.0,14.0,480.0,log10
0.00755,6.0,20.0,960.0,log2
0.00755,6.0,18.0,960.0,log10
0.00721,6.0,6.0,1200.0,log2
0.00679,8.0,20.0,1280.0,log
0.00608,6.0,20.0,720.0,log
0.00604,6.0,6.0,480.0,log
0.00604,8.0,10.0,1600.0,log
0.00587,1.0,16.0,200.0,log2
0.00538,1.0,12.0,160.0,log2
0.00528,10.0,18.0,1600.0,log2
0.00453,6.0,6.0,1200.0,log10
0.00424,6.0,14.0,480.0,log
0.00382,8.0,10.0,1280.0,log
0.00377,10.0,20.0,1200.0,log10
0.00356,2.0,12.0,320.0,log10
0.00327,1.0,10.0,160.0,log
0.00302,8.0,6.0,1280.0,log2
0.00277,2.0,12.0,320.0,log2
0.00272,1.0,12.0,40.0,log
0.00117,10.0,18.0,1200.0,log10
0.00054,1.0,10.0,120.0,log2
0.00042,4.0,10.0,480.0,log
0.00042,10.0,8.0,800.0,log
0.00042,6.0,12.0,720.0,log10
0.00012,4.0,20.0,320.0,log2
4e-05,4.0,18.0,480.0,log
0.0,10.0,20.0,1600.0,log
-0.00013,1.0,12.0,80.0,log10
-0.00147,8.0,14.0,1600.0,log2
-0.00151,8.0,10.0,640.0,log
-0.00151,6.0,10.0,1200.0,log10
-0.00181,10.0,20.0,1200.0,log
-0.0021,10.0,12.0,2000.0,log
-0.00226,8.0,20.0,1280.0,log10
-0.00226,10.0,10.0,2000.0,log10
-0.00262,2.0,20.0,80.0,log2
-0.00302,8.0,6.0,640.0,log
-0.00411,6.0,10.0,960.0,log
-0.00449,8.0,14.0,1280.0,log2
-0.00449,8.0,6.0,640.0,log10
-0.00528,10.0,6.0,2000.0,log10
-0.00562,2.0,10.0,320.0,log
-0.00592,1.0,12.0,200.0,log
-0.00713,8.0,16.0,1280.0,log10
-0.00751,1.0,8.0,80.0,log2
-0.00755,6.0,14.0,960.0,log10
-0.00785,10.0,12.0,400.0,log10
-0.00823,6.0,6.0,960.0,log2
-0.00826,4.0,6.0,800.0,log2
-0.00887,6.0,10.0,240.0,log
-0.00906,8.0,14.0,960.0,log2
-0.00932,1.0,18.0,80.0,log
-0.01042,2.0,6.0,160.0,log
-0.01042,1.0,16.0,120.0,log2
-0.01118,8.0,20.0,320.0,log2
-0.01128,10.0,6.0,1200.0,log10
-0.01166,4.0,6.0,480.0,log10
-0.01238,6.0,12.0,1200.0,log10
-0.01299,4.0,14.0,800.0,log2
-0.01348,1.0,18.0,200.0,log2
-0.01351,8.0,16.0,320.0,log
-0.01355,6.0,6.0,480.0,log10
-0.01359,8.0,20.0,640.0,log
-0.01386,6.0,16.0,720.0,log
-0.01393,4.0,18.0,640.0,log10
-0.0143,4.0,14.0,480.0,log
-0.0143,8.0,8.0,960.0,log2
-0.01495,1.0,10.0,80.0,log2
-0.01509,10.0,18.0,2000.0,log2
-0.01585,8.0,14.0,1600.0,log10
-0.01615,2.0,18.0,320.0,log2
-0.01654,8.0,14.0,640.0,log
-0.01691,10.0,16.0,1600.0,log
