score,KC_factor,projections,hash_dims,flattening
0.13666,2.0,20.0,1600.0,log2
0.13664,2.0,16.0,3200.0,log2
0.1366,6.0,16.0,9600.0,log10
0.13654,8.0,18.0,9600.0,log10
0.13623,1.0,18.0,1600.0,log2
0.13622,8.0,14.0,9600.0,log
0.13622,6.0,12.0,7200.0,log10
0.1362,2.0,14.0,2400.0,log2
0.13618,8.0,18.0,6400.0,log
0.13618,4.0,14.0,3200.0,log10
0.1361,8.0,16.0,12800.0,log10
0.13609,6.0,12.0,9600.0,log2
0.13608,8.0,20.0,9600.0,log2
0.136,1.0,14.0,1200.0,log
0.13595,8.0,14.0,6400.0,log10
0.13587,8.0,12.0,9600.0,log2
0.13583,4.0,16.0,4800.0,log
0.1358,4.0,20.0,1600.0,log
0.13575,8.0,12.0,9600.0,log10
0.1357,2.0,20.0,800.0,log2
0.13566,8.0,20.0,16000.0,log2
0.13566,4.0,16.0,6400.0,log10
0.13561,8.0,20.0,16000.0,log
0.13561,4.0,18.0,6400.0,log10
0.13556,2.0,14.0,3200.0,log2
0.13553,4.0,20.0,8000.0,log
0.13543,1.0,16.0,1600.0,log2
0.13543,6.0,14.0,9600.0,log10
0.13539,1.0,16.0,800.0,log10
0.13538,4.0,18.0,1600.0,log
0.13529,8.0,12.0,12800.0,log10
0.13528,1.0,16.0,1200.0,log
0.13525,2.0,16.0,2400.0,log2
0.1352,2.0,12.0,2400.0,log
0.13517,6.0,20.0,12000.0,log10
0.13515,6.0,10.0,7200.0,log2
0.13509,6.0,12.0,4800.0,log2
0.135,8.0,18.0,16000.0,log
0.135,2.0,12.0,3200.0,log2
0.135,8.0,14.0,6400.0,log2
0.13499,4.0,18.0,6400.0,log
0.13497,1.0,14.0,1600.0,log2
0.13481,4.0,16.0,8000.0,log2
0.13474,2.0,16.0,4000.0,log10
0.13466,6.0,18.0,12000.0,log2
0.13461,8.0,14.0,6400.0,log
0.13454,8.0,16.0,16000.0,log
0.13449,1.0,18.0,800.0,log
0.13448,8.0,14.0,12800.0,log
0.13448,1.0,16.0,800.0,log2
0.13441,4.0,14.0,3200.0,log
0.13431,2.0,20.0,4000.0,log2
0.13425,6.0,18.0,2400.0,log
0.13424,1.0,20.0,2000.0,log2
0.1342,6.0,14.0,9600.0,log
0.13415,4.0,14.0,6400.0,log10
0.13407,2.0,12.0,2400.0,log10
0.13405,6.0,14.0,4800.0,log2
0.13401,2.0,16.0,1600.0,log10
0.13398,4.0,20.0,8000.0,log10
0.13396,6.0,18.0,9600.0,log
0.13393,1.0,10.0,1200.0,log10
0.13379,8.0,18.0,16000.0,log2
0.13379,8.0,10.0,6400.0,log10
0.13378,8.0,12.0,6400.0,log10
0.13377,2.0,16.0,4000.0,log
0.13377,8.0,18.0,3200.0,log
0.13373,4.0,20.0,8000.0,log2
0.13371,2.0,18.0,3200.0,log2
0.13367,6.0,20.0,12000.0,log2
0.13351,8.0,16.0,12800.0,log
0.13332,4.0,18.0,8000.0,log2
0.13329,6.0,16.0,2400.0,log
0.1331,8.0,12.0,6400.0,log2
0.13309,6.0,10.0,4800.0,log
0.13307,4.0,12.0,6400.0,log
0.13304,6.0,12.0,7200.0,log
0.13296,8.0,12.0,6400.0,log
0.13293,1.0,16.0,1200.0,log10
0.13291,8.0,20.0,3200.0,log10
0.13288,2.0,16.0,3200.0,log10
0.13287,4.0,12.0,3200.0,log
0.13284,6.0,20.0,12000.0,log
0.13276,4.0,14.0,4800.0,log10
0.13241,2.0,14.0,2400.0,log10
0.1324,8.0,16.0,3200.0,log10
0.13233,6.0,20.0,2400.0,log2
0.13229,4.0,20.0,1600.0,log2
0.13225,4.0,16.0,8000.0,log
0.1322,4.0,12.0,6400.0,log10
0.13216,8.0,10.0,9600.0,log2
0.13209,1.0,18.0,1600.0,log
0.13205,1.0,20.0,1600.0,log
0.13204,4.0,16.0,8000.0,log10
0.13195,8.0,18.0,16000.0,log10
0.13175,2.0,18.0,3200.0,log
0.13158,1.0,20.0,1600.0,log10
0.1315,6.0,16.0,12000.0,log2
0.13148,2.0,16.0,3200.0,log
0.13145,2.0,10.0,1600.0,log
0.13144,6.0,16.0,9600.0,log2
0.13139,6.0,8.0,4800.0,log2
0.13135,4.0,12.0,6400.0,log2
0.13131,2.0,14.0,4000.0,log10
0.13115,2.0,20.0,3200.0,log
0.13109,8.0,10.0,9600.0,log10
0.13106,8.0,20.0,16000.0,log10
0.13095,8.0,20.0,3200.0,log
0.13092,8.0,16.0,16000.0,log10
0.13087,4.0,12.0,4800.0,log
0.13087,6.0,18.0,12000.0,log10
0.13072,2.0,18.0,4000.0,log10
0.1307,1.0,14.0,1600.0,log
0.13069,4.0,12.0,3200.0,log10
0.13061,8.0,14.0,16000.0,log2
0.13056,4.0,8.0,3200.0,log
0.13053,1.0,16.0,1600.0,log
0.13051,2.0,14.0,1600.0,log10
0.13046,4.0,10.0,4800.0,log
0.13043,8.0,10.0,6400.0,log
0.13038,1.0,18.0,2000.0,log
0.13035,6.0,14.0,12000.0,log2
0.13034,8.0,10.0,9600.0,log
0.13029,6.0,10.0,7200.0,log
0.13027,4.0,16.0,6400.0,log
0.13023,8.0,12.0,12800.0,log2
0.13017,8.0,18.0,3200.0,log10
0.13014,4.0,10.0,4800.0,log2
0.13011,4.0,10.0,3200.0,log2
0.13009,8.0,8.0,6400.0,log
0.13005,6.0,12.0,9600.0,log
0.13003,6.0,16.0,12000.0,log10
0.13001,2.0,8.0,2400.0,log
0.12986,1.0,12.0,800.0,log10
0.12976,4.0,18.0,8000.0,log10
0.12975,2.0,12.0,1600.0,log10
0.12965,6.0,16.0,12000.0,log
0.12961,8.0,16.0,16000.0,log2
0.12957,4.0,12.0,4800.0,log10
0.12948,6.0,20.0,2400.0,log10
0.12937,6.0,12.0,2400.0,log10
0.12936,1.0,10.0,1200.0,log
0.12936,1.0,12.0,1200.0,log2
0.12934,6.0,14.0,9600.0,log2
0.12932,8.0,14.0,16000.0,log
0.12932,2.0,12.0,1600.0,log2
0.12926,2.0,12.0,3200.0,log10
0.12923,1.0,20.0,2000.0,log
0.12921,1.0,10.0,1200.0,log2
0.12918,2.0,12.0,3200.0,log
0.12915,2.0,10.0,2400.0,log
0.12891,4.0,10.0,3200.0,log
0.12879,4.0,10.0,3200.0,log10
