score,KC_factor,projections,hash_dims,flattening
0.08387,4.0,4.0,320.0,log2
0.07175,4.0,8.0,160.0,log
0.06733,1.0,6.0,80.0,log2
0.06619,4.0,6.0,160.0,log2
0.06564,4.0,6.0,160.0,log10
0.06535,4.0,8.0,480.0,log2
0.06423,4.0,8.0,160.0,log2
0.06208,1.0,10.0,80.0,log
0.06176,4.0,4.0,160.0,log2
0.06127,4.0,10.0,320.0,log
0.06028,4.0,6.0,160.0,log
0.06016,4.0,8.0,160.0,log10
0.05957,4.0,10.0,160.0,log10
0.05753,4.0,4.0,640.0,log
0.05678,1.0,6.0,200.0,log
0.0558,4.0,10.0,480.0,log10
0.05508,4.0,10.0,640.0,log10
0.05494,4.0,2.0,160.0,log10
0.05386,4.0,10.0,480.0,log2
0.05373,4.0,10.0,160.0,log2
0.05349,4.0,4.0,480.0,log10
0.05334,4.0,4.0,320.0,log
0.05255,4.0,4.0,320.0,log10
0.05244,4.0,10.0,640.0,log2
0.05207,4.0,4.0,160.0,log
0.05196,4.0,8.0,640.0,log10
0.05156,1.0,4.0,120.0,log
0.05123,1.0,6.0,160.0,log
0.05056,4.0,6.0,480.0,log2
0.05011,4.0,6.0,320.0,log2
0.04994,1.0,10.0,200.0,log10
0.04979,4.0,10.0,320.0,log2
0.04967,1.0,8.0,200.0,log
0.04964,4.0,4.0,480.0,log
0.04939,4.0,6.0,800.0,log2
0.04909,4.0,8.0,320.0,log
0.04906,4.0,8.0,320.0,log10
0.04842,4.0,10.0,160.0,log
0.04803,1.0,8.0,120.0,log10
0.04795,4.0,10.0,800.0,log
0.04761,4.0,8.0,640.0,log2
0.04754,4.0,6.0,640.0,log10
0.04742,4.0,6.0,480.0,log10
0.04738,4.0,8.0,480.0,log10
0.04701,4.0,6.0,320.0,log10
0.04655,1.0,10.0,160.0,log
0.04635,1.0,10.0,120.0,log10
0.04626,4.0,8.0,800.0,log10
0.04581,1.0,6.0,80.0,log10
0.04489,4.0,2.0,160.0,log2
0.04402,1.0,6.0,120.0,log
0.04396,4.0,10.0,640.0,log
0.04344,4.0,10.0,800.0,log2
0.04343,4.0,6.0,320.0,log
0.04342,4.0,10.0,480.0,log
0.04299,4.0,6.0,800.0,log10
0.04284,1.0,8.0,80.0,log2
0.04245,4.0,8.0,480.0,log
